Fund Name,Date,NAV
Nippon India Small Cap Fund (G),26-04-2019,40.0435
Nippon India Small Cap Fund (G),30-04-2019,39.7375
Nippon India Small Cap Fund (G),02-05-2019,39.6576
Nippon India Small Cap Fund (G),03-05-2019,39.5854
Nippon India Small Cap Fund (G),06-05-2019,39.3969
Nippon India Small Cap Fund (G),07-05-2019,39.1649
Nippon India Small Cap Fund (G),08-05-2019,38.6327
Nippon India Small Cap Fund (G),09-05-2019,38.5848
Nippon India Small Cap Fund (G),10-05-2019,38.6639
Nippon India Small Cap Fund (G),13-05-2019,38.0775
Nippon India Small Cap Fund (G),14-05-2019,38.2383
Nippon India Small Cap Fund (G),15-05-2019,38.159
Nippon India Small Cap Fund (G),16-05-2019,38.1947
Nippon India Small Cap Fund (G),17-05-2019,38.3896
Nippon India Small Cap Fund (G),20-05-2019,39.4683
Nippon India Small Cap Fund (G),21-05-2019,39.2505
Nippon India Small Cap Fund (G),22-05-2019,39.3252
Nippon India Small Cap Fund (G),23-05-2019,39.3622
Nippon India Small Cap Fund (G),24-05-2019,40.3808
Nippon India Small Cap Fund (G),27-05-2019,41.2347
Nippon India Small Cap Fund (G),28-05-2019,41.2311
Nippon India Small Cap Fund (G),29-05-2019,41.0717
Nippon India Small Cap Fund (G),30-05-2019,41.1745
Nippon India Small Cap Fund (G),31-05-2019,41.0296
Nippon India Small Cap Fund (G),03-06-2019,41.1975
Nippon India Small Cap Fund (G),04-06-2019,41.1169
Nippon India Small Cap Fund (G),06-06-2019,40.4858
Nippon India Small Cap Fund (G),07-06-2019,40.3969
Nippon India Small Cap Fund (G),10-06-2019,40.1219
Nippon India Small Cap Fund (G),11-06-2019,40.2834
Nippon India Small Cap Fund (G),12-06-2019,40.063
Nippon India Small Cap Fund (G),13-06-2019,39.9016
Nippon India Small Cap Fund (G),14-06-2019,39.6787
Nippon India Small Cap Fund (G),17-06-2019,39.2517
Nippon India Small Cap Fund (G),18-06-2019,39.2549
Nippon India Small Cap Fund (G),19-06-2019,38.8027
Nippon India Small Cap Fund (G),20-06-2019,39.0799
Nippon India Small Cap Fund (G),21-06-2019,39.0254
Nippon India Small Cap Fund (G),24-06-2019,38.8729
Nippon India Small Cap Fund (G),25-06-2019,39.138
Nippon India Small Cap Fund (G),26-06-2019,39.4768
Nippon India Small Cap Fund (G),27-06-2019,39.6169
Nippon India Small Cap Fund (G),28-06-2019,39.5731
Nippon India Small Cap Fund (G),01-07-2019,39.6762
Nippon India Small Cap Fund (G),02-07-2019,39.7119
Nippon India Small Cap Fund (G),03-07-2019,39.6793
Nippon India Small Cap Fund (G),04-07-2019,39.8129
Nippon India Small Cap Fund (G),05-07-2019,39.2681
Nippon India Small Cap Fund (G),08-07-2019,38.4427
Nippon India Small Cap Fund (G),09-07-2019,38.3844
Nippon India Small Cap Fund (G),10-07-2019,38.1235
Nippon India Small Cap Fund (G),11-07-2019,38.2023
Nippon India Small Cap Fund (G),12-07-2019,38.3291
Nippon India Small Cap Fund (G),15-07-2019,38.1394
Nippon India Small Cap Fund (G),16-07-2019,38.1456
Nippon India Small Cap Fund (G),17-07-2019,38.1229
Nippon India Small Cap Fund (G),18-07-2019,37.7656
Nippon India Small Cap Fund (G),19-07-2019,37.1114
Nippon India Small Cap Fund (G),22-07-2019,36.7129
Nippon India Small Cap Fund (G),23-07-2019,36.8106
Nippon India Small Cap Fund (G),24-07-2019,36.3805
Nippon India Small Cap Fund (G),25-07-2019,36.3274
Nippon India Small Cap Fund (G),26-07-2019,36.3335
Nippon India Small Cap Fund (G),29-07-2019,36.0618
Nippon India Small Cap Fund (G),30-07-2019,35.5007
Nippon India Small Cap Fund (G),31-07-2019,35.8224
Nippon India Small Cap Fund (G),01-08-2019,35.3646
Nippon India Small Cap Fund (G),02-08-2019,35.261
Nippon India Small Cap Fund (G),05-08-2019,34.7731
Nippon India Small Cap Fund (G),06-08-2019,35.2334
Nippon India Small Cap Fund (G),07-08-2019,35.1743
Nippon India Small Cap Fund (G),08-08-2019,35.3888
Nippon India Small Cap Fund (G),09-08-2019,35.5584
Nippon India Small Cap Fund (G),13-08-2019,35.0182
Nippon India Small Cap Fund (G),14-08-2019,35.1625
Nippon India Small Cap Fund (G),16-08-2019,35.1526
Nippon India Small Cap Fund (G),19-08-2019,35.3498
Nippon India Small Cap Fund (G),20-08-2019,35.1234
Nippon India Small Cap Fund (G),21-08-2019,34.6082
Nippon India Small Cap Fund (G),22-08-2019,33.9638
Nippon India Small Cap Fund (G),23-08-2019,34.1771
Nippon India Small Cap Fund (G),26-08-2019,34.7839
Nippon India Small Cap Fund (G),27-08-2019,35.297
Nippon India Small Cap Fund (G),28-08-2019,35.0573
Nippon India Small Cap Fund (G),29-08-2019,34.8064
Nippon India Small Cap Fund (G),30-08-2019,35.0281
Nippon India Small Cap Fund (G),03-09-2019,34.5494
Nippon India Small Cap Fund (G),04-09-2019,34.6452
Nippon India Small Cap Fund (G),05-09-2019,34.746
Nippon India Small Cap Fund (G),06-09-2019,35.1484
Nippon India Small Cap Fund (G),09-09-2019,35.6515
Nippon India Small Cap Fund (G),11-09-2019,36.3067
Nippon India Small Cap Fund (G),12-09-2019,36.2493
Nippon India Small Cap Fund (G),13-09-2019,36.4973
Nippon India Small Cap Fund (G),16-09-2019,36.7409
Nippon India Small Cap Fund (G),17-09-2019,36.2124
Nippon India Small Cap Fund (G),18-09-2019,36.4095
Nippon India Small Cap Fund (G),19-09-2019,35.885
Nippon India Small Cap Fund (G),20-09-2019,37.2492
Nippon India Small Cap Fund (G),23-09-2019,38.4132
Nippon India Small Cap Fund (G),24-09-2019,38.3463
Nippon India Small Cap Fund (G),25-09-2019,38.008
Nippon India Small Cap Fund (G),26-09-2019,38.2168
Nippon India Small Cap Fund (G),27-09-2019,37.9412
Nippon India Small Cap Fund (G),30-09-2019,37.5295
Nippon India Small Cap Fund (G),01-10-2019,36.9632
Nippon India Small Cap Fund (G),03-10-2019,36.8559
Nippon India Small Cap Fund (G),04-10-2019,36.5504
Nippon India Small Cap Fund (G),07-10-2019,36.1657
Nippon India Small Cap Fund (G),09-10-2019,36.5244
Nippon India Small Cap Fund (G),10-10-2019,36.2179
Nippon India Small Cap Fund (G),11-10-2019,36.3457
Nippon India Small Cap Fund (G),14-10-2019,36.444
Nippon India Small Cap Fund (G),15-10-2019,36.3706
Nippon India Small Cap Fund (G),16-10-2019,36.4093
Nippon India Small Cap Fund (G),22-10-2019,37.5323
Nippon India Small Cap Fund (G),23-10-2019,37.5702
Nippon India Small Cap Fund (G),24-10-2019,37.457
Nippon India Small Cap Fund (G),25-10-2019,37.3876
Nippon India Small Cap Fund (G),29-10-2019,38.0948
Nippon India Small Cap Fund (G),30-10-2019,38.1903
Nippon India Small Cap Fund (G),31-10-2019,38.4078
Nippon India Small Cap Fund (G),01-11-2019,38.535
Nippon India Small Cap Fund (G),04-11-2019,38.7381
Nippon India Small Cap Fund (G),05-11-2019,38.4361
Nippon India Small Cap Fund (G),06-11-2019,38.1476
Nippon India Small Cap Fund (G),07-11-2019,38.2185
Nippon India Small Cap Fund (G),08-11-2019,38.1484
Nippon India Small Cap Fund (G),11-11-2019,38.3001
Nippon India Small Cap Fund (G),13-11-2019,38.2259
Nippon India Small Cap Fund (G),14-11-2019,38.2464
Nippon India Small Cap Fund (G),15-11-2019,38.2374
Nippon India Small Cap Fund (G),18-11-2019,38.2696
Nippon India Small Cap Fund (G),19-11-2019,38.258
Nippon India Small Cap Fund (G),20-11-2019,38.3468
Nippon India Small Cap Fund (G),21-11-2019,38.316
Nippon India Small Cap Fund (G),22-11-2019,38.1381
Nippon India Small Cap Fund (G),25-11-2019,38.3082
Nippon India Small Cap Fund (G),26-11-2019,38.2052
Nippon India Small Cap Fund (G),27-11-2019,38.2036
Nippon India Small Cap Fund (G),28-11-2019,38.3537
Nippon India Small Cap Fund (G),29-11-2019,38.4072
Nippon India Small Cap Fund (G),02-12-2019,38.2073
Nippon India Small Cap Fund (G),03-12-2019,37.9814
Nippon India Small Cap Fund (G),04-12-2019,38.0476
Nippon India Small Cap Fund (G),05-12-2019,37.9617
Nippon India Small Cap Fund (G),06-12-2019,37.6385
Nippon India Small Cap Fund (G),09-12-2019,37.4542
Nippon India Small Cap Fund (G),10-12-2019,37.0739
Nippon India Small Cap Fund (G),11-12-2019,37.0294
Nippon India Small Cap Fund (G),12-12-2019,37.4257
Nippon India Small Cap Fund (G),13-12-2019,37.7337
Nippon India Small Cap Fund (G),16-12-2019,37.6353
Nippon India Small Cap Fund (G),17-12-2019,37.8515
Nippon India Small Cap Fund (G),18-12-2019,37.8562
Nippon India Small Cap Fund (G),19-12-2019,37.8574
Nippon India Small Cap Fund (G),20-12-2019,37.9222
Nippon India Small Cap Fund (G),23-12-2019,37.9018
Nippon India Small Cap Fund (G),24-12-2019,38.0314
Nippon India Small Cap Fund (G),26-12-2019,38.1384
Nippon India Small Cap Fund (G),27-12-2019,38.4895
Nippon India Small Cap Fund (G),30-12-2019,38.6783
Nippon India Small Cap Fund (G),31-12-2019,38.745
Nippon India Small Cap Fund (G),01-01-2020,38.9932
Nippon India Small Cap Fund (G),02-01-2020,39.558
Nippon India Small Cap Fund (G),03-01-2020,39.5197
Nippon India Small Cap Fund (G),06-01-2020,38.6034
Nippon India Small Cap Fund (G),07-01-2020,39.049
Nippon India Small Cap Fund (G),08-01-2020,39.019
Nippon India Small Cap Fund (G),09-01-2020,39.6992
Nippon India Small Cap Fund (G),10-01-2020,40.0075
Nippon India Small Cap Fund (G),13-01-2020,40.4683
Nippon India Small Cap Fund (G),14-01-2020,40.8021
Nippon India Small Cap Fund (G),15-01-2020,41.1716
Nippon India Small Cap Fund (G),16-01-2020,41.4982
Nippon India Small Cap Fund (G),17-01-2020,41.7064
Nippon India Small Cap Fund (G),20-01-2020,41.4716
Nippon India Small Cap Fund (G),21-01-2020,41.3636
Nippon India Small Cap Fund (G),22-01-2020,41.3083
Nippon India Small Cap Fund (G),23-01-2020,41.5457
Nippon India Small Cap Fund (G),24-01-2020,41.6542
Nippon India Small Cap Fund (G),27-01-2020,41.6108
Nippon India Small Cap Fund (G),28-01-2020,41.5655
Nippon India Small Cap Fund (G),29-01-2020,41.7416
Nippon India Small Cap Fund (G),30-01-2020,41.2955
Nippon India Small Cap Fund (G),31-01-2020,41.2189
Nippon India Small Cap Fund (G),03-02-2020,40.375
Nippon India Small Cap Fund (G),04-02-2020,41.0066
Nippon India Small Cap Fund (G),05-02-2020,41.351
Nippon India Small Cap Fund (G),06-02-2020,41.5882
Nippon India Small Cap Fund (G),07-02-2020,41.6459
Nippon India Small Cap Fund (G),10-02-2020,41.4102
Nippon India Small Cap Fund (G),11-02-2020,41.5254
Nippon India Small Cap Fund (G),12-02-2020,41.6065
Nippon India Small Cap Fund (G),13-02-2020,41.5358
Nippon India Small Cap Fund (G),14-02-2020,41.5308
Nippon India Small Cap Fund (G),17-02-2020,41.1954
Nippon India Small Cap Fund (G),18-02-2020,41.1261
Nippon India Small Cap Fund (G),19-02-2020,41.7619
Nippon India Small Cap Fund (G),20-02-2020,41.9697
Nippon India Small Cap Fund (G),24-02-2020,41.2311
Nippon India Small Cap Fund (G),25-02-2020,41.3029
Nippon India Small Cap Fund (G),26-02-2020,40.949
Nippon India Small Cap Fund (G),27-02-2020,40.5654
Nippon India Small Cap Fund (G),28-02-2020,38.939
Nippon India Small Cap Fund (G),02-03-2020,38.7436
Nippon India Small Cap Fund (G),03-03-2020,39.08
Nippon India Small Cap Fund (G),04-03-2020,38.4181
Nippon India Small Cap Fund (G),05-03-2020,38.6602
Nippon India Small Cap Fund (G),06-03-2020,38.0776
Nippon India Small Cap Fund (G),09-03-2020,36.3902
Nippon India Small Cap Fund (G),11-03-2020,36.1595
Nippon India Small Cap Fund (G),12-03-2020,33.3049
Nippon India Small Cap Fund (G),13-03-2020,33.8679
Nippon India Small Cap Fund (G),16-03-2020,32.0777
Nippon India Small Cap Fund (G),17-03-2020,31.2708
Nippon India Small Cap Fund (G),18-03-2020,29.3262
Nippon India Small Cap Fund (G),19-03-2020,28.1761
Nippon India Small Cap Fund (G),20-03-2020,28.8049
Nippon India Small Cap Fund (G),23-03-2020,25.2865
Nippon India Small Cap Fund (G),24-03-2020,25.0388
Nippon India Small Cap Fund (G),25-03-2020,25.8139
Nippon India Small Cap Fund (G),26-03-2020,26.778
Nippon India Small Cap Fund (G),27-03-2020,27.0071
Nippon India Small Cap Fund (G),30-03-2020,26.2526
Nippon India Small Cap Fund (G),31-03-2020,27.2074
Nippon India Small Cap Fund (G),01-04-2020,26.7882
Nippon India Small Cap Fund (G),03-04-2020,26.5324
Nippon India Small Cap Fund (G),07-04-2020,27.7949
Nippon India Small Cap Fund (G),08-04-2020,28.3324
Nippon India Small Cap Fund (G),09-04-2020,29.5026
Nippon India Small Cap Fund (G),13-04-2020,29.1994
Nippon India Small Cap Fund (G),15-04-2020,29.2417
Nippon India Small Cap Fund (G),16-04-2020,29.769
Nippon India Small Cap Fund (G),17-04-2020,30.4414
Nippon India Small Cap Fund (G),20-04-2020,30.8208
Nippon India Small Cap Fund (G),21-04-2020,29.8799
Nippon India Small Cap Fund (G),22-04-2020,30.1446
Nippon India Small Cap Fund (G),23-04-2020,30.5222
Nippon India Small Cap Fund (G),24-04-2020,30.0114
Nippon India Small Cap Fund (G),27-04-2020,30.4132
Nippon India Small Cap Fund (G),28-04-2020,30.552
Nippon India Small Cap Fund (G),29-04-2020,31.0053
Nippon India Small Cap Fund (G),30-04-2020,31.2499
Nippon India Small Cap Fund (G),04-05-2020,30.3838
Nippon India Small Cap Fund (G),05-05-2020,30.1677
Nippon India Small Cap Fund (G),06-05-2020,30.2739
Nippon India Small Cap Fund (G),07-05-2020,30.3185
Nippon India Small Cap Fund (G),08-05-2020,29.9789
Nippon India Small Cap Fund (G),11-05-2020,29.8219
Nippon India Small Cap Fund (G),12-05-2020,29.5235
Nippon India Small Cap Fund (G),13-05-2020,30.0563
Nippon India Small Cap Fund (G),14-05-2020,29.8553
Nippon India Small Cap Fund (G),15-05-2020,29.9149
Nippon India Small Cap Fund (G),18-05-2020,29.0096
Nippon India Small Cap Fund (G),19-05-2020,28.8751
Nippon India Small Cap Fund (G),20-05-2020,29.2093
Nippon India Small Cap Fund (G),21-05-2020,29.4881
Nippon India Small Cap Fund (G),22-05-2020,29.2972
Nippon India Small Cap Fund (G),26-05-2020,29.4733
Nippon India Small Cap Fund (G),27-05-2020,29.7574
Nippon India Small Cap Fund (G),28-05-2020,30.1931
Nippon India Small Cap Fund (G),29-05-2020,30.5844
Nippon India Small Cap Fund (G),01-06-2020,31.3339
Nippon India Small Cap Fund (G),02-06-2020,31.817
Nippon India Small Cap Fund (G),03-06-2020,32.2141
Nippon India Small Cap Fund (G),04-06-2020,32.3436
Nippon India Small Cap Fund (G),05-06-2020,33.0143
Nippon India Small Cap Fund (G),08-06-2020,33.2884
Nippon India Small Cap Fund (G),09-06-2020,32.9782
Nippon India Small Cap Fund (G),10-06-2020,33.1219
Nippon India Small Cap Fund (G),11-06-2020,32.6692
Nippon India Small Cap Fund (G),12-06-2020,32.6855
Nippon India Small Cap Fund (G),15-06-2020,32.7519
Nippon India Small Cap Fund (G),16-06-2020,32.7683
Nippon India Small Cap Fund (G),17-06-2020,33.0158
Nippon India Small Cap Fund (G),18-06-2020,33.4084
Nippon India Small Cap Fund (G),19-06-2020,33.9902
Nippon India Small Cap Fund (G),22-06-2020,34.3429
Nippon India Small Cap Fund (G),23-06-2020,34.9241
Nippon India Small Cap Fund (G),24-06-2020,34.5691
Nippon India Small Cap Fund (G),25-06-2020,34.7016
Nippon India Small Cap Fund (G),26-06-2020,34.8365
Nippon India Small Cap Fund (G),29-06-2020,34.5644
Nippon India Small Cap Fund (G),30-06-2020,34.4541
Nippon India Small Cap Fund (G),01-07-2020,34.5393
Nippon India Small Cap Fund (G),02-07-2020,34.7314
Nippon India Small Cap Fund (G),03-07-2020,34.808
Nippon India Small Cap Fund (G),06-07-2020,35.395
Nippon India Small Cap Fund (G),07-07-2020,35.4962
Nippon India Small Cap Fund (G),08-07-2020,35.4624
Nippon India Small Cap Fund (G),09-07-2020,35.7094
Nippon India Small Cap Fund (G),10-07-2020,35.5123
Nippon India Small Cap Fund (G),13-07-2020,35.4299
Nippon India Small Cap Fund (G),14-07-2020,35.1711
Nippon India Small Cap Fund (G),15-07-2020,35.1152
Nippon India Small Cap Fund (G),16-07-2020,35.1635
Nippon India Small Cap Fund (G),17-07-2020,35.6115
Nippon India Small Cap Fund (G),20-07-2020,35.8782
Nippon India Small Cap Fund (G),21-07-2020,36.0457
Nippon India Small Cap Fund (G),22-07-2020,35.9844
Nippon India Small Cap Fund (G),23-07-2020,36.2813
Nippon India Small Cap Fund (G),24-07-2020,36.2341
Nippon India Small Cap Fund (G),27-07-2020,35.8686
Nippon India Small Cap Fund (G),28-07-2020,36.1524
Nippon India Small Cap Fund (G),29-07-2020,36.2137
Nippon India Small Cap Fund (G),30-07-2020,35.8807
Nippon India Small Cap Fund (G),31-07-2020,36.2065
Nippon India Small Cap Fund (G),03-08-2020,36.5244
Nippon India Small Cap Fund (G),04-08-2020,36.9724
Nippon India Small Cap Fund (G),05-08-2020,37.2943
Nippon India Small Cap Fund (G),06-08-2020,37.5916
Nippon India Small Cap Fund (G),07-08-2020,38.0502
Nippon India Small Cap Fund (G),10-08-2020,38.5967
Nippon India Small Cap Fund (G),11-08-2020,38.647
Nippon India Small Cap Fund (G),12-08-2020,38.7753
Nippon India Small Cap Fund (G),13-08-2020,39.2738
Nippon India Small Cap Fund (G),14-08-2020,38.8877
Nippon India Small Cap Fund (G),17-08-2020,39.1862
Nippon India Small Cap Fund (G),18-08-2020,39.5711
Nippon India Small Cap Fund (G),19-08-2020,40.0128
Nippon India Small Cap Fund (G),20-08-2020,40.3014
Nippon India Small Cap Fund (G),21-08-2020,41.0177
Nippon India Small Cap Fund (G),24-08-2020,42.0231
Nippon India Small Cap Fund (G),25-08-2020,42.2168
Nippon India Small Cap Fund (G),26-08-2020,42.7181
Nippon India Small Cap Fund (G),27-08-2020,42.736
Nippon India Small Cap Fund (G),28-08-2020,42.5393
Nippon India Small Cap Fund (G),31-08-2020,40.583
Nippon India Small Cap Fund (G),01-09-2020,40.7661
Nippon India Small Cap Fund (G),02-09-2020,41.3037
Nippon India Small Cap Fund (G),03-09-2020,41.5775
Nippon India Small Cap Fund (G),04-09-2020,41.1375
Nippon India Small Cap Fund (G),07-09-2020,41.0535
Nippon India Small Cap Fund (G),08-09-2020,40.6954
Nippon India Small Cap Fund (G),09-09-2020,40.2239
Nippon India Small Cap Fund (G),10-09-2020,40.8846
Nippon India Small Cap Fund (G),11-09-2020,40.9382
Nippon India Small Cap Fund (G),14-09-2020,42.8111
Nippon India Small Cap Fund (G),15-09-2020,43.5556
Nippon India Small Cap Fund (G),16-09-2020,43.7957
Nippon India Small Cap Fund (G),17-09-2020,43.6132
Nippon India Small Cap Fund (G),18-09-2020,43.4455
Nippon India Small Cap Fund (G),21-09-2020,41.7224
Nippon India Small Cap Fund (G),22-09-2020,41.336
Nippon India Small Cap Fund (G),23-09-2020,41.225
Nippon India Small Cap Fund (G),24-09-2020,40.3264
Nippon India Small Cap Fund (G),25-09-2020,41.1219
Nippon India Small Cap Fund (G),28-09-2020,42.0175
Nippon India Small Cap Fund (G),29-09-2020,42.0212
Nippon India Small Cap Fund (G),30-09-2020,42.1595
Nippon India Small Cap Fund (G),01-10-2020,42.2343
Nippon India Small Cap Fund (G),05-10-2020,42.1401
Nippon India Small Cap Fund (G),06-10-2020,42.2071
Nippon India Small Cap Fund (G),07-10-2020,41.8419
Nippon India Small Cap Fund (G),08-10-2020,41.4588
Nippon India Small Cap Fund (G),09-10-2020,41.4896
Nippon India Small Cap Fund (G),12-10-2020,41.1764
Nippon India Small Cap Fund (G),13-10-2020,41.1385
Nippon India Small Cap Fund (G),14-10-2020,41.3941
Nippon India Small Cap Fund (G),15-10-2020,40.6945
Nippon India Small Cap Fund (G),16-10-2020,40.9736
Nippon India Small Cap Fund (G),19-10-2020,41.2523
Nippon India Small Cap Fund (G),20-10-2020,41.2432
Nippon India Small Cap Fund (G),21-10-2020,41.1839
Nippon India Small Cap Fund (G),22-10-2020,41.4602
Nippon India Small Cap Fund (G),23-10-2020,41.8643
Nippon India Small Cap Fund (G),26-10-2020,41.5413
Nippon India Small Cap Fund (G),27-10-2020,41.7712
Nippon India Small Cap Fund (G),28-10-2020,41.4694
Nippon India Small Cap Fund (G),29-10-2020,41.3612
Nippon India Small Cap Fund (G),30-10-2020,41.405
Nippon India Small Cap Fund (G),02-11-2020,41.0704
Nippon India Small Cap Fund (G),03-11-2020,41.2399
Nippon India Small Cap Fund (G),04-11-2020,41.3108
Nippon India Small Cap Fund (G),05-11-2020,42.0706
Nippon India Small Cap Fund (G),06-11-2020,42.3319
Nippon India Small Cap Fund (G),09-11-2020,42.7517
Nippon India Small Cap Fund (G),10-11-2020,42.5159
Nippon India Small Cap Fund (G),11-11-2020,42.808
Nippon India Small Cap Fund (G),12-11-2020,43.2726
Nippon India Small Cap Fund (G),13-11-2020,43.699
Nippon India Small Cap Fund (G),17-11-2020,44.403
Nippon India Small Cap Fund (G),18-11-2020,44.7892
Nippon India Small Cap Fund (G),19-11-2020,44.6912
Nippon India Small Cap Fund (G),20-11-2020,45.0925
Nippon India Small Cap Fund (G),23-11-2020,45.5709
Nippon India Small Cap Fund (G),24-11-2020,45.8565
Nippon India Small Cap Fund (G),25-11-2020,45.3146
Nippon India Small Cap Fund (G),26-11-2020,45.5311
Nippon India Small Cap Fund (G),27-11-2020,46.6905
Nippon India Small Cap Fund (G),01-12-2020,47.2255
Nippon India Small Cap Fund (G),02-12-2020,47.2722
Nippon India Small Cap Fund (G),03-12-2020,47.6236
Nippon India Small Cap Fund (G),04-12-2020,47.8705
